,sentence_idx,token,label
157,8,RTH,I-PARAMETER
158,8,Altitude,I-PARAMETER
159,8,is,O
160,8,98,O
161,8,ft,O
162,8,.,O
163,8,You,O
164,8,can,O
165,8,reset,O
166,8,the,O
167,8,RTH,B-PARAMETER
168,8,Altitude,I-PARAMETER
169,8,in,O
170,8,Remote,B-FUNCTION
171,8,Controller,I-FUNCTION
172,8,Settings,I-FUNCTION
173,8,after,O
174,8,cancelling,O
175,8,RTH,B-ACTION
176,8,.,O
177,8,,O
178,9,Aircraft,B-COMPONENT
179,9,is,O
180,9,returning,O
181,9,to,O
182,9,the,O
183,9,Home,B-PARAMETER
184,9,Point,I-PARAMETER
185,9,.,I-PARAMETER
186,9,Minimum,B-PARAMETER
187,9,RTH,I-PARAMETER
188,9,Altitude,I-PARAMETER
189,9,is30,O
190,9,m.,O
191,9,You,O
192,9,can,O
193,9,reset,O
194,9,the,O
195,9,RTH,B-PARAMETER
196,9,Altitude,I-PARAMETER
197,9,in,O
198,9,Remote,B-FUNCTION
199,9,Controller,I-FUNCTION
200,9,Settings,I-FUNCTION
201,9,after,O
202,9,cancelling,O
203,9,RTH,B-ACTION
204,9,.,O
205,9,,O
206,10,Aircraft,B-COMPONENT
207,10,is,O
208,10,returning,O
209,10,to,O
210,10,the,O
211,10,Home,B-PARAMETER
212,10,Point,I-PARAMETER
213,10,.,I-PARAMETER
214,10,RTH,B-PARAMETER
215,10,Altitude,I-PARAMETER
216,10,is,O
217,10,30,O
218,10,m.,O
219,10,You,O
220,10,can,O
221,10,reset,O
222,10,the,O
223,10,RTH,B-PARAMETER
224,10,Altitude,I-PARAMETER
225,10,in,O
226,10,Remote,B-FUNCTION
227,10,Controller,I-FUNCTION
228,10,Settings,I-FUNCTION
229,10,after,O
230,10,cancelling,O
231,10,RTH,B-ACTION
232,10,if,O
233,10,necessary,O
234,10,.,O
235,10,,O
236,11,Aircraft,B-COMPONENT
237,11,out,O
238,11,of,O
239,11,Range,O
240,11,,O
241,12,Ambient,B-PARAMETER
242,12,Light,I-PARAMETER
243,12,is,O
244,12,too,O
245,12,weak,O
246,12,.,O
247,12,,O
248,13,Ambient,B-PARAMETER
249,13,Light,I-PARAMETER
250,13,too,O
251,13,Weak,O
252,13,,O
253,14,Attitude,B-PARAMETER
254,14,is,O
255,14,too,O
256,14,large,O
257,14,.,O
258,14,,O
259,15,Away,B-STATE
260,15,and,I-STATE
261,15,Follow,I-STATE
262,15,in,O
263,15,progress,O
264,15,.,O
265,15,,O
266,16,Backward,B-FUNCTION
267,16,Obstacle,I-FUNCTION
268,16,Sensing,I-FUNCTION
269,16,is,O
270,16,not,O
271,16,functioning,O
272,16,.,O
273,16,,O
274,17,Battery,B-ISSUE
275,17,Signal,I-ISSUE
276,17,Error,I-ISSUE
277,17,.,I-ISSUE
278,17,Check,O
279,17,battery,O
280,17,connection,O
281,17,.,O
282,17,,O
283,18,Battery,B-PARAMETER
284,18,temperature,I-PARAMETER
285,18,is,O
286,18,below,O
287,18,15,O
288,18,degrees,O
289,18,Celsius,O
290,18,.,O
291,18,Warm,O
292,18,up,O
293,18,the,O
294,18,battery,B-PARAMETER
295,18,temperature,I-PARAMETER
296,18,to,O
297,18,above,O
298,18,25,O
299,18,degree,O
300,18,Celsius,O
301,18,to,O
302,18,ensure,O
303,18,a,O
304,18,safe,O
305,18,flight,O
306,18,.,O
307,18,,O
308,19,Braking,B-ACTION
309,19,now,O
310,19,!,O
311,19,Return,O
312,19,sticks,B-COMPONENT
313,19,to,O
314,19,midpoints,O
315,19,first,O
316,19,.,O
317,19,,O
318,20,Braking,B-ACTION
319,20,now,O
320,20,.,O
321,20,Return,O
322,20,sticks,B-COMPONENT
323,20,to,O
324,20,midpoints,O
325,20,",",O
326,20,then,O
327,20,continue,O
328,20,flying,O
329,20,.,O
330,20,,O
331,21,Camera,B-STATE
332,21,Settings,I-STATE
333,21,Adjusted,O
334,21,to,O
335,21,ActiveTrack,B-STATE
336,21,,O
337,22,Can,O
338,22,not,O
339,22,change,O
340,22,current,O
341,22,flight,B-PARAMETER
342,22,mode,I-PARAMETER
343,22,.,I-PARAMETER
344,22,Enable,O
345,22,Multiple,B-FUNCTION
346,22,Flight,I-FUNCTION
347,22,Modes,I-FUNCTION
348,22,in,O
349,22,Settings,B-FUNCTION
350,22,menu,O
351,22,to,O
352,22,change,O
353,22,.,O
354,22,,O
355,23,Can,O
356,23,not,O
357,23,enter,O
358,23,the,O
359,23,selected,O
360,23,flight,B-PARAMETER
361,23,mode,I-PARAMETER
362,23,.,I-PARAMETER
363,23,Try,O
364,23,again,O
365,23,later,O
366,23,.,O
367,23,,O
368,24,Can,O
369,24,not,O
370,24,Identify,O
371,24,Subject,O
372,24,,O
373,25,Can,O
374,25,not,O
375,25,switch,O
376,25,flight,B-PARAMETER
377,25,mode,I-PARAMETER
378,25,.,I-PARAMETER
379,25,Turn,O
380,25,on,O
381,25,"""",O
382,25,Multiple,B-FUNCTION
383,25,Flight,I-FUNCTION
384,25,Modes,I-FUNCTION
385,25,"""",O
386,25,to,O
387,25,enable,O
388,25,Atti,B-STATE
389,25,and,O
390,25,Sport,B-STATE
391,25,Modes,I-STATE
392,25,,O
393,26,Can,O
394,26,not,O
395,26,Takeoff,B-ACTION
396,26,in,O
397,26,Travel,B-STATE
398,26,Mode,I-STATE
399,26,.,I-STATE
400,26,Exit,B-ACTION
401,26,Travel,B-STATE
402,26,Mode,I-STATE
403,26,.,O
404,26,,O
405,27,Command,B-ISSUE
406,27,Failed,I-ISSUE
407,27,,O
408,28,Command,B-ISSUE
409,28,Timeout,I-ISSUE
410,28,,O
411,29,Compass,B-ISSUE
412,29,Error,I-ISSUE
413,29,.,I-ISSUE
414,29,Exit,B-ACTION
415,29,P,B-STATE
416,29,-,I-STATE
417,29,GPS,I-STATE
418,29,Mode,I-STATE
419,29,,O
420,30,Compass,B-ISSUE
421,30,Redundancy,I-ISSUE
422,30,Switch,I-ISSUE
423,30,,O
424,31,Compass,B-ISSUE
425,31,Stuck,I-ISSUE
426,31,.,I-ISSUE
427,31,Restart,B-ACTION
428,31,Aircraft,B-COMPONENT
429,31,.,I-COMPONENT
430,31,Contact,O
431,31,DJI,O
432,31,Support,O
433,31,if,O
434,31,this,O
435,31,persists,O
436,31,.,O
437,31,,O
438,32,Correcting,B-ACTION
439,32,Landing,B-PARAMETER
440,32,Position,I-PARAMETER
441,32,,O
442,33,Critically,B-ISSUE
443,33,Low,I-ISSUE
444,33,Power,I-ISSUE
445,33,.,I-ISSUE
446,33,Aircraft,B-COMPONENT
447,33,Landing,B-ACTION
448,33,,O
449,34,Current,O
450,34,RTH,B-PARAMETER
451,34,route,I-PARAMETER
452,34,will,O
453,34,pass,O
454,34,a,O
455,34,No,O
456,34,-,O
457,34,Fly,O
458,34,zone,O
459,34,.,O
460,34,Pay,O
461,34,attention,O
462,34,to,O
463,34,the,O
464,34,aircraft,B-COMPONENT
465,34,'s,O
466,34,position,O
467,34,to,O
468,34,avoid,O
469,34,RTH,B-ISSUE
470,34,failure,I-ISSUE
471,34,.,O
472,34,,O
473,35,Data,B-COMPONENT
474,35,Recorder,I-COMPONENT
475,35,File,B-PARAMETER
476,35,Index,I-PARAMETER
477,35,is,O
478,35,12,O
479,35,.,O
480,35,,O
481,36,Data,B-COMPONENT
482,36,Recorder,I-COMPONENT
483,36,File,B-PARAMETER
484,36,Index,I-PARAMETER
485,36,is,O
486,36,13,O
487,36,.,O
488,36,,O
489,37,Data,B-COMPONENT
490,37,Recorder,I-COMPONENT
491,37,File,B-PARAMETER
492,37,Index,I-PARAMETER
493,37,is,O
494,37,15,O
495,37,.,O
496,37,,O
497,38,Data,B-COMPONENT
498,38,Recorder,I-COMPONENT
499,38,File,B-PARAMETER
500,38,Index,I-PARAMETER
501,38,is,O
502,38,17,O
503,38,.,O
504,38,,O
505,39,Data,B-COMPONENT
506,39,Recorder,I-COMPONENT
507,39,File,B-PARAMETER
508,39,Index,I-PARAMETER
509,39,is,O
510,39,18,O
511,39,.,O
512,39,,O
513,40,Data,B-COMPONENT
514,40,Recorder,I-COMPONENT
515,40,File,B-PARAMETER
516,40,Index,I-PARAMETER
517,40,is,O
518,40,19,O
519,40,.,O
520,40,,O
521,41,Data,B-COMPONENT
522,41,Recorder,I-COMPONENT
523,41,File,B-PARAMETER
524,41,Index,I-PARAMETER
525,41,is,O
526,41,2,O
527,41,.,O
528,41,,O
529,42,Data,B-COMPONENT
530,42,Recorder,I-COMPONENT
531,42,File,B-PARAMETER
532,42,Index,I-PARAMETER
533,42,is,O
534,42,21,O
535,42,.,O
536,42,,O
537,43,Data,B-COMPONENT
538,43,Recorder,I-COMPONENT
539,43,File,B-PARAMETER
540,43,Index,I-PARAMETER
541,43,is,O
542,43,29,O
543,43,.,O
544,43,,O
545,44,Data,B-COMPONENT
546,44,Recorder,I-COMPONENT
547,44,File,B-PARAMETER
548,44,Index,I-PARAMETER
549,44,is,O
550,44,3,O
551,44,.,O
552,44,,O
553,45,Data,B-COMPONENT
554,45,Recorder,I-COMPONENT
555,45,File,B-PARAMETER
556,45,Index,I-PARAMETER
557,45,is,O
558,45,30,O
559,45,.,O
560,45,,O
561,46,Data,B-COMPONENT
562,46,Recorder,I-COMPONENT
563,46,File,B-PARAMETER
564,46,Index,I-PARAMETER
565,46,is,O
566,46,4,O
567,46,.,O
568,46,,O
569,47,Data,B-COMPONENT
570,47,Recorder,I-COMPONENT
571,47,File,B-PARAMETER
572,47,Index,I-PARAMETER
573,47,is,O
574,47,45,O
575,47,.,O
576,47,,O
577,48,Data,B-COMPONENT
578,48,Recorder,I-COMPONENT
579,48,File,B-PARAMETER
580,48,Index,I-PARAMETER
581,48,is,O
582,48,46,O
583,48,.,O
584,48,,O
585,49,Data,B-COMPONENT
586,49,Recorder,I-COMPONENT
587,49,File,B-PARAMETER
588,49,Index,I-PARAMETER
589,49,is,O
590,49,5,O
591,49,.,O
592,49,,O
593,50,Data,B-COMPONENT
594,50,Recorder,I-COMPONENT
595,50,File,B-PARAMETER
596,50,Index,I-PARAMETER
597,50,is,O
598,50,57,O
599,50,.,O
600,50,,O
601,51,Data,B-COMPONENT
602,51,Recorder,I-COMPONENT
603,51,File,B-PARAMETER
604,51,Index,I-PARAMETER
605,51,is,O
606,51,65,O
607,51,.,O
608,51,,O
609,52,Data,B-COMPONENT
610,52,Recorder,I-COMPONENT
611,52,File,B-PARAMETER
612,52,Index,I-PARAMETER
613,52,is,O
614,52,7,O
615,52,.,O
616,52,,O
617,53,Data,B-COMPONENT
618,53,Recorder,I-COMPONENT
619,53,File,B-PARAMETER
620,53,Index,I-PARAMETER
621,53,is,O
622,53,8,O
623,53,.,O
624,53,,O
625,54,Descending,B-ACTION
626,54,.,I-ACTION
627,54,Exited,B-ACTION
628,54,Visual,B-FUNCTION
629,54,Avoidance,I-FUNCTION
630,54,System,I-FUNCTION
631,54,,O
632,55,Downlink,B-ISSUE
633,55,Lost,I-ISSUE
634,55,.,O
635,55,,O
636,56,Downlink,B-FUNCTION
637,56,Restored,O
638,56,(,O
639,56,after,O
640,56,0,O
641,56,m,O
642,56,0.9s,O
643,56,),O
644,56,.,O
645,56,,O
646,57,Downlink,B-FUNCTION
647,57,Restored,O
648,57,(,O
649,57,after,O
650,57,0,O
651,57,m,O
652,57,1.1s,O
653,57,),O
654,57,.,O
655,57,,O
656,58,Downlink,B-FUNCTION
657,58,Restored,O
658,58,(,O
659,58,after,O
660,58,0,O
661,58,m,O
662,58,1.2s,O
663,58,),O
664,58,.,O
665,58,,O
666,59,Downlink,B-FUNCTION
667,59,Restored,O
668,59,(,O
669,59,after,O
670,59,0,O
671,59,m,O
672,59,1.4s,O
673,59,),O
674,59,.,O
675,59,,O
676,60,Downlink,B-FUNCTION
677,60,Restored,O
678,60,(,O
679,60,after,O
680,60,0,O
681,60,m,O
682,60,1.5s,O
683,60,),O
684,60,.,O
685,60,,O
686,61,Downlink,B-FUNCTION
687,61,Restored,O
688,61,(,O
689,61,after,O
690,61,0,O
691,61,m,O
692,61,1.6s,O
693,61,),O
694,61,.,O
695,61,,O
696,62,Downlink,B-FUNCTION
697,62,Restored,O
698,62,(,O
699,62,after,O
700,62,0,O
701,62,m,O
702,62,1.7s,O
703,62,),O
704,62,.,O
705,62,,O
706,63,Downlink,B-FUNCTION
707,63,Restored,O
708,63,(,O
709,63,after,O
710,63,0,O
711,63,m,O
712,63,11.3s,O
713,63,),O
714,63,.,O
715,63,,O
716,64,Downlink,B-FUNCTION
717,64,Restored,O
718,64,(,O
719,64,after,O
720,64,0,O
721,64,m,O
722,64,11s,O
723,64,),O
724,64,.,O
725,64,,O
726,65,Downlink,B-FUNCTION
727,65,Restored,O
728,65,(,O
729,65,after,O
730,65,0,O
731,65,m,O
732,65,1s,O
733,65,),O
734,65,.,O
735,65,,O
736,66,Downlink,B-FUNCTION
737,66,Restored,O
738,66,(,O
739,66,after,O
740,66,0,O
741,66,m,O
742,66,2.2s,O
743,66,),O
744,66,.,O
745,66,,O
746,67,Downlink,B-FUNCTION
747,67,Restored,O
748,67,(,O
749,67,after,O
750,67,0,O
751,67,m,O
752,67,2.3s,O
753,67,),O
754,67,.,O
755,67,,O
756,68,Downlink,B-FUNCTION
757,68,Restored,O
758,68,(,O
759,68,after,O
760,68,0,O
761,68,m,O
762,68,2.9s,O
763,68,),O
764,68,.,O
765,68,,O
766,69,Downlink,B-FUNCTION
767,69,Restored,O
768,69,(,O
769,69,after,O
770,69,0,O
771,69,m,O
772,69,5.6s,O
773,69,),O
774,69,.,O
775,69,,O
776,70,Downlink,B-FUNCTION
777,70,Restored,O
778,70,(,O
779,70,after,O
780,70,0,O
781,70,m,O
782,70,5.8s,O
783,70,),O
784,70,.,O
785,70,,O
786,71,Drag,O
787,71,a,O
788,71,box,O
789,71,around,O
790,71,or,O
791,71,tap,O
792,71,a,O
793,71,target,O
794,71,on,O
795,71,screen,O
796,71,.,O
797,71,Then,O
798,71,tap,O
799,71,Go,O
800,71,.,O
801,71,,O
802,72,Exited,B-ACTION
803,72,Visual,B-FUNCTION
804,72,Avoidance,I-FUNCTION
805,72,System,I-FUNCTION
806,72,.,O
807,72,,O
808,73,Flight,B-PARAMETER
809,73,Mode,I-PARAMETER
810,73,Set,O
811,73,to,O
812,73,Attitude,B-STATE
813,73,,O
814,74,Fly,O
815,74,with,O
816,74,caution,O
817,74,and,O
818,74,ensure,O
819,74,the,O
820,74,aircraft,B-COMPONENT
821,74,remains,O
822,74,within,O
823,74,your,O
824,74,line,O
825,74,of,O
826,74,sight,O
827,74,.,O
828,74,,O
829,75,Forward,B-FUNCTION
830,75,Obstacle,I-FUNCTION
831,75,Sensing,I-FUNCTION
832,75,is,O
833,75,not,O
834,75,functioning,O
835,75,.,O
836,75,,O
837,76,Forward,B-FUNCTION
838,76,Obstacle,I-FUNCTION
839,76,Sensing,I-FUNCTION
840,76,not,O
841,76,Responding,O
842,76,,O
843,77,Gimbal,B-PARAMETER
844,77,Pitch,I-PARAMETER
845,77,Limit,I-PARAMETER
846,77,Reached,O
847,77,.,O
848,77,,O
849,78,Gimbal,B-PARAMETER
850,78,Pitch,I-PARAMETER
851,78,Reached,O
852,78,Movement,B-PARAMETER
853,78,Limit,I-PARAMETER
854,78,,O
855,79,Gimbal,B-PARAMETER
856,79,Roll,I-PARAMETER
857,79,Limit,I-PARAMETER
858,79,Reached,O
859,79,.,O
860,79,,O
861,80,Gimbal,B-PARAMETER
862,80,Yaw,I-PARAMETER
863,80,Limit,I-PARAMETER
864,80,Reached,O
865,80,,O
866,81,GPS,B-PARAMETER
867,81,Position,I-PARAMETER
868,81,Mismatch,B-ISSUE
869,81,.,O
870,81,,O
871,82,Ground,O
872,82,Plain,O
873,82,.,O
874,82,Safe,O
875,82,to,O
876,82,Land,O
877,82,.,O
878,82,,O
879,83,High,B-ISSUE
880,83,wind,I-ISSUE
881,83,velocity,I-ISSUE
882,83,.,I-ISSUE
883,83,Ensure,O
884,83,the,O
885,83,aircraft,B-COMPONENT
886,83,remains,O
887,83,within,O
888,83,your,O
889,83,line,O
890,83,of,O
891,83,sight,O
892,83,and,O
893,83,fly,O
894,83,with,O
895,83,caution,O
896,83,.,O
897,83,,O
898,84,High,B-ISSUE
899,84,wind,I-ISSUE
900,84,velocity,I-ISSUE
901,84,.,I-ISSUE
902,84,Fly,O
903,84,with,O
904,84,caution,O
905,84,and,O
906,84,land,O
907,84,in,O
908,84,a,O
909,84,safe,O
910,84,place,O
911,84,ASAP,O
912,84,.,O
913,84,,O
914,85,High,B-ISSUE
915,85,wind,I-ISSUE
916,85,velocity,I-ISSUE
917,85,.,I-ISSUE
918,85,Fly,O
919,85,with,O
920,85,caution,O
921,85,.,O
922,85,,O
923,86,Home,B-PARAMETER
924,86,Point,I-PARAMETER
925,86,Recorded,O
926,86,.,O
927,86,,O
928,87,Home,O
929,87,Point,O
930,87,Updated,O
931,87,.,O
932,87,,O
933,88,Image,B-FUNCTION
934,88,Transmission,I-FUNCTION
935,88,Recovered,O
936,88,.,O
937,88,Aircraft,B-COMPONENT
938,88,is,O
939,88,returning,B-ACTION
940,88,home,I-ACTION
941,88,.,O
942,88,,O
943,89,Intelligent,B-FUNCTION
944,89,Flight,I-FUNCTION
945,89,Modes,I-FUNCTION
946,89,have,O
947,89,not,O
948,89,been,O
949,89,enabled,O
950,89,.,O
951,89,Enable,O
952,89,this,O
953,89,option,O
954,89,in,O
955,89,Main,B-FUNCTION
956,89,Controller,I-FUNCTION
957,89,Settings,I-FUNCTION
958,89,if,O
959,89,needed,O
960,89,.,O
961,89,,O
962,90,Landing,B-COMPONENT
963,90,Gear,I-COMPONENT
964,90,Lowered,O
965,90,.,O
966,90,,O
967,91,Landing,B-COMPONENT
968,91,gear,I-COMPONENT
969,91,lowered,O
970,91,.,O
971,91,Obstacle,B-FUNCTION
972,91,Avoidance,I-FUNCTION
973,91,Disabled,O
974,91,.,O
975,91,,O
976,92,Landing,B-COMPONENT
977,92,gear,I-COMPONENT
978,92,lowered,O
979,92,.,O
980,92,Obstacle,B-FUNCTION
981,92,Avoidance,I-FUNCTION
982,92,has,O
983,92,been,O
984,92,disabled,O
985,92,.,O
986,92,,O
987,93,Landing,B-COMPONENT
988,93,gear,I-COMPONENT
989,93,lowered,B-FUNCTION
990,93,.,I-FUNCTION
991,93,Obstacle,I-FUNCTION
992,93,Avoidance,I-FUNCTION
993,93,Disabled,O
994,93,.,O
995,93,,O
996,94,Landing,B-COMPONENT
997,94,Gear,I-COMPONENT
998,94,Lowering,O
999,94,.,O
1000,94,,O
1001,95,Landing,B-COMPONENT
1002,95,Gear,I-COMPONENT
1003,95,Raised,O
1004,95,.,O
1005,95,,O
1006,96,Landing,B-COMPONENT
1007,96,Gear,I-COMPONENT
1008,96,Raising,O
1009,96,.,O
1010,96,,O
1011,97,Landing,B-FUNCTION
1012,97,Protection,I-FUNCTION
1013,97,Activated,O
1014,97,.,O
1015,97,Aircraft,B-COMPONENT
1016,97,will,O
1017,97,decelerate,O
1018,97,during,O
1019,97,landing,O
1020,97,.,O
1021,97,,O
1022,98,Landing,B-ACTION
1023,98,.,O
1024,98,,O
1025,99,Large,B-ISSUE
1026,99,Wind,I-ISSUE
1027,99,Velocity,I-ISSUE
1028,99,.,O
1029,99,,O
1030,100,Large,B-ISSUE
1031,100,Wind,I-ISSUE
1032,100,Velocity,I-ISSUE
1033,100,.,I-ISSUE
1034,100,Fly,O
1035,100,with,O
1036,100,caution,O
1037,100,.,O
1038,100,,O
1039,101,Lens,B-COMPONENT
1040,101,not,O
1041,101,connected,O
1042,101,,O
1043,102,Locating,B-ACTION
1044,102,Landing,B-PARAMETER
1045,102,Point,I-PARAMETER
1046,102,,O
1047,103,Low,B-ISSUE
1048,103,Power,I-ISSUE
1049,103,.,I-ISSUE
1050,103,Aircraft,B-COMPONENT
1051,103,is,O
1052,103,returning,O
1053,103,to,O
1054,103,the,O
1055,103,Home,B-PARAMETER
1056,103,Point,I-PARAMETER
1057,103,.,O
1058,103,,O
1059,104,Low,B-ISSUE
1060,104,Power,I-ISSUE
1061,104,.,I-ISSUE
1062,104,Returning,B-ACTION
1063,104,home,I-ACTION
1064,104,.,O
1065,104,,O
1066,105,Magnetic,B-ISSUE
1067,105,Filed,I-ISSUE
1068,105,Interference,I-ISSUE
1069,105,.,I-ISSUE
1070,105,Exit,O
1071,105,P,B-STATE
1072,105,-,I-STATE
1073,105,GPS,I-STATE
1074,105,Mode,I-STATE
1075,105,,O
1076,106,Max,B-PARAMETER
1077,106,Flight,I-PARAMETER
1078,106,Altitude,I-PARAMETER
1079,106,Reached,O
1080,106,.,O
1081,106,Adjust,O
1082,106,in,O
1083,106,Main,B-FUNCTION
1084,106,Controller,I-FUNCTION
1085,106,Settings,I-FUNCTION
1086,106,if,O
1087,106,necessary,O
1088,106,,O
1089,107,Max,B-PARAMETER
1090,107,Flight,I-PARAMETER
1091,107,Distance,I-PARAMETER
1092,107,Reached,O
1093,107,.,O
1094,107,Adjust,O
1095,107,in,O
1096,107,Main,B-FUNCTION
1097,107,Controller,I-FUNCTION
1098,107,Settings,I-FUNCTION
1099,107,if,O
1100,107,necessary,O
1101,107,.,O
1102,107,,O
1103,108,Maximum,B-PARAMETER
1104,108,Flight,I-PARAMETER
1105,108,Altitude,I-PARAMETER
1106,108,Reached,O
1107,108,.,O
1108,108,,O
1109,109,Maximum,B-PARAMETER
1110,109,Flight,I-PARAMETER
1111,109,Altitude,I-PARAMETER
1112,109,Reached,O
1113,109,.,O
1114,109,Adjust,O
1115,109,altitude,B-PARAMETER
1116,109,in,O
1117,109,MC,B-FUNCTION
1118,109,Settings,I-FUNCTION
1119,109,if,O
1120,109,required,O
1121,109,.,O
1122,109,,O
1123,110,Maximum,B-PARAMETER
1124,110,Flight,I-PARAMETER
1125,110,Distance,I-PARAMETER
1126,110,Reached,O
1127,110,.,O
1128,110,Adjust,O
1129,110,distance,O
1130,110,in,O
1131,110,MC,B-FUNCTION
1132,110,Settings,I-FUNCTION
1133,110,if,O
1134,110,required,O
1135,110,.,O
1136,110,,O
1137,111,Maximum,B-PARAMETER
1138,111,flight,I-PARAMETER
1139,111,distance,I-PARAMETER
1140,111,reached,O
1141,111,.,O
1142,111,Adjust,O
1143,111,the,O
1144,111,distance,O
1145,111,in,O
1146,111,MC,B-FUNCTION
1147,111,Settings,I-FUNCTION
1148,111,if,O
1149,111,required,O
1150,111,.,O
1151,111,,O
1152,112,Mobile,B-COMPONENT
1153,112,device,I-COMPONENT
1154,112,CPU,I-COMPONENT
1155,112,fully,O
1156,112,loaded,O
1157,112,.,O
1158,112,Related,O
1159,112,performance,O
1160,112,will,O
1161,112,be,O
1162,112,affected,O
1163,112,.,O
1164,112,,O
1165,113,Mobile,B-PARAMETER
1166,113,device,I-PARAMETER
1167,113,version,I-PARAMETER
1168,113,too,O
1169,113,old,O
1170,113,to,O
1171,113,support,O
1172,113,HD,B-FUNCTION
1173,113,image,I-FUNCTION
1174,113,transmission,I-FUNCTION
1175,113,and,O
1176,113,the,O
1177,113,image,B-PARAMETER
1178,113,transmission,I-PARAMETER
1179,113,mode,I-PARAMETER
1180,113,has,O
1181,113,been,O
1182,113,switch,O
1183,113,to,O
1184,113,normal,B-STATE
1185,113,mode,I-STATE
1186,113,.,O
1187,113,,O
1188,114,Motor,B-COMPONENT
1189,114,or,O
1190,114,propeller,B-COMPONENT
1191,114,error,B-ISSUE
1192,114,.,I-ISSUE
1193,114,Check,O
1194,114,the,O
1195,114,motors,B-COMPONENT
1196,114,and,O
1197,114,propellers,B-COMPONENT
1198,114,.,O
1199,114,,O
1200,115,Motors,B-COMPONENT
1201,115,Started,O
1202,115,.,O
1203,115,,O
1204,116,Not,O
1205,116,Allowed,O
1206,116,to,O
1207,116,change,O
1208,116,Aircraft,B-PARAMETER
1209,116,Mode,I-PARAMETER
1210,116,.,I-PARAMETER
1211,116,If,O
1212,116,needed,O
1213,116,,O
1214,117,Obstacle,B-FUNCTION
1215,117,Avoidance,I-FUNCTION
1216,117,Disabled,O
1217,117,.,O
1218,117,,O
1219,118,Obstacle,B-FUNCTION
1220,118,Avoidance,I-FUNCTION
1221,118,Disabled,O
