,sentence_idx,token,label
136,8,m.,O
137,8,You,O
138,8,can,O
139,8,reset,O
140,8,the,O
141,8,RTH,B-PARAMETER
142,8,Altitude,I-PARAMETER
143,8,in,O
144,8,Remote,B-FUNCTION
145,8,Controller,I-FUNCTION
146,8,Settings,I-FUNCTION
147,8,after,O
148,8,cancelling,O
149,8,RTH,B-ACTION
150,8,if,O
151,8,necessary,O
152,8,.,O
153,8,,O
154,9,Aircraft,B-COMPONENT
155,9,is,O
156,9,returning,O
157,9,to,O
158,9,the,O
159,9,Home,B-PARAMETER
160,9,Point,I-PARAMETER
161,9,.,I-PARAMETER
162,9,Minimum,B-PARAMETER
163,9,RTH,I-PARAMETER
164,9,Altitude,I-PARAMETER
165,9,is,O
166,9,30,O
167,9,m.,O
168,9,You,O
169,9,can,O
170,9,reset,O
171,9,the,O
172,9,RTH,B-PARAMETER
173,9,Altitude,I-PARAMETER
174,9,in,O
175,9,Remote,B-FUNCTION
176,9,Controller,I-FUNCTION
177,9,Settings,I-FUNCTION
178,9,after,O
179,9,cancelling,O
180,9,RTH,B-ACTION
181,9,.,O
182,9,,O
183,10,Aircraft,B-COMPONENT
184,10,is,O
185,10,returning,O
186,10,to,O
187,10,the,O
188,10,Home,B-PARAMETER
189,10,Point,I-PARAMETER
190,10,.,I-PARAMETER
191,10,Minimum,B-PARAMETER
192,10,RTH,I-PARAMETER
193,10,Altitude,I-PARAMETER
194,10,is,O
195,10,98,O
196,10,ft,O
197,10,.,O
198,10,You,O
199,10,can,O
200,10,reset,O
201,10,the,O
202,10,RTH,B-PARAMETER
203,10,Altitude,I-PARAMETER
204,10,in,O
205,10,Remote,B-FUNCTION
206,10,Controller,I-FUNCTION
207,10,Settings,I-FUNCTION
208,10,after,O
209,10,cancelling,O
210,10,RTH,B-ACTION
211,10,.,O
212,10,,O
213,11,Aircraft,B-COMPONENT
214,11,is,O
215,11,returning,O
216,11,to,O
217,11,the,O
218,11,Home,B-PARAMETER
219,11,Point,I-PARAMETER
220,11,.,I-PARAMETER
221,11,Minimum,B-PARAMETER
222,11,RTH,I-PARAMETER
223,11,Altitude,I-PARAMETER
224,11,is30,O
225,11,m.,O
226,11,You,O
227,11,can,O
228,11,reset,O
229,11,the,O
230,11,RTH,B-PARAMETER
231,11,Altitude,I-PARAMETER
232,11,in,O
233,11,Remote,B-FUNCTION
234,11,Controller,I-FUNCTION
235,11,Settings,I-FUNCTION
236,11,after,O
237,11,cancelling,O
238,11,RTH,B-ACTION
239,11,.,O
240,11,,O
241,12,Aircraft,B-COMPONENT
242,12,is,O
243,12,returning,O
244,12,to,O
245,12,the,O
246,12,Home,B-PARAMETER
247,12,Point,I-PARAMETER
248,12,.,I-PARAMETER
249,12,RTH,B-PARAMETER
250,12,Altitude,I-PARAMETER
251,12,is,O
252,12,30,O
253,12,m.,O
254,12,You,O
255,12,can,O
256,12,reset,O
257,12,the,O
258,12,RTH,B-PARAMETER
259,12,Altitude,I-PARAMETER
260,12,in,O
261,12,Remote,B-FUNCTION
262,12,Controller,I-FUNCTION
263,12,Settings,I-FUNCTION
264,12,after,O
265,12,cancelling,O
266,12,RTH,B-ACTION
267,12,if,O
268,12,necessary,O
269,12,.,O
270,12,,O
271,13,Aircraft,B-ISSUE
272,13,out,I-ISSUE
273,13,of,I-ISSUE
274,13,Range,I-ISSUE
275,13,,O
276,14,Ambient,B-ISSUE
277,14,Light,I-ISSUE
278,14,is,I-ISSUE
279,14,too,I-ISSUE
280,14,weak,I-ISSUE
281,14,.,O
282,14,,O
283,15,Ambient,B-ISSUE
284,15,Light,I-ISSUE
285,15,too,I-ISSUE
286,15,Weak,I-ISSUE
287,15,,O
288,16,Attitude,B-ISSUE
289,16,is,I-ISSUE
290,16,too,I-ISSUE
291,16,large,I-ISSUE
292,16,.,O
293,16,,O
294,17,Backward,B-FUNCTION
295,17,Obstacle,I-FUNCTION
296,17,Sensing,I-FUNCTION
297,17,is,O
298,17,not,O
299,17,functioning,O
300,17,.,O
301,17,,O
302,18,Battery,B-ISSUE
303,18,Signal,I-ISSUE
304,18,Error,I-ISSUE
305,18,.,I-ISSUE
306,18,Check,O
307,18,battery,O
308,18,connection,O
309,18,.,O
310,18,,O
311,19,Battery,B-PARAMETER
312,19,temperature,I-PARAMETER
313,19,is,O
314,19,below,O
315,19,15,O
316,19,degrees,O
317,19,Celsius,O
318,19,.,O
319,19,Warm,O
320,19,up,O
321,19,the,O
322,19,battery,B-PARAMETER
323,19,temperature,I-PARAMETER
324,19,to,O
325,19,above,O
326,19,25,O
327,19,degree,O
328,19,Celsius,O
329,19,to,O
330,19,ensure,O
331,19,a,O
332,19,safe,O
333,19,flight,O
334,19,.,O
335,19,,O
336,20,Braking,B-ACTION
337,20,now,O
338,20,!,O
339,20,Return,O
340,20,sticks,B-COMPONENT
341,20,to,O
342,20,midpoints,B-PARAMETER
343,20,first,O
344,20,.,O
345,20,,O
346,21,Braking,B-ACTION
347,21,now,O
348,21,.,O
349,21,Return,O
350,21,sticks,B-COMPONENT
351,21,to,O
352,21,midpoints,B-PARAMETER
353,21,",",O
354,21,then,O
355,21,continue,O
356,21,flying,O
357,21,.,O
358,21,,O
359,22,Camera,B-PARAMETER
360,22,Settings,I-PARAMETER
361,22,Adjusted,O
362,22,to,O
363,22,ActiveTrack,B-STATE
364,22,,O
365,23,Can,O
366,23,not,O
367,23,change,O
368,23,current,O
369,23,flight,B-PARAMETER
370,23,mode,I-PARAMETER
371,23,.,I-PARAMETER
372,23,Enable,O
373,23,Multiple,B-FUNCTION
374,23,Flight,I-FUNCTION
375,23,Modes,I-FUNCTION
376,23,in,O
377,23,Settings,O
378,23,menu,O
379,23,to,O
380,23,change,O
381,23,.,O
382,23,,O
383,24,Can,O
384,24,not,O
385,24,enter,O
386,24,the,O
387,24,selected,O
388,24,flight,B-PARAMETER
389,24,mode,I-PARAMETER
390,24,.,I-PARAMETER
391,24,Try,O
392,24,again,O
393,24,later,O
394,24,.,O
395,24,,O
396,25,Can,B-ISSUE
397,25,not,I-ISSUE
398,25,Identify,I-ISSUE
399,25,Subject,I-ISSUE
400,25,,O
401,26,Can,O
402,26,not,O
403,26,switch,O
404,26,flight,B-PARAMETER
405,26,mode,I-PARAMETER
406,26,.,I-PARAMETER
407,26,Turn,O
408,26,on,O
409,26,"""",O
410,26,Multiple,B-FUNCTION
411,26,Flight,I-FUNCTION
412,26,Modes,I-FUNCTION
413,26,"""",O
414,26,to,O
415,26,enable,O
416,26,Atti,B-STATE
417,26,and,O
418,26,Sport,B-STATE
419,26,Modes,I-STATE
420,26,,O
421,27,Can,O
422,27,not,O
423,27,Takeoff,B-ACTION
424,27,in,O
425,27,Travel,B-STATE
426,27,Mode,I-STATE
427,27,.,I-STATE
428,27,Exit,B-ACTION
429,27,Travel,B-STATE
430,27,Mode,I-STATE
431,27,.,O
432,27,,O
433,28,Command,B-ISSUE
434,28,Failed,I-ISSUE
435,28,,O
436,29,Command,B-ISSUE
437,29,Timeout,I-ISSUE
438,29,,O
439,30,Compass,B-ISSUE
440,30,Error,I-ISSUE
441,30,.,I-ISSUE
442,30,Exit,B-ACTION
443,30,P,B-STATE
444,30,-,I-STATE
445,30,GPS,I-STATE
446,30,Mode,I-STATE
447,30,,O
448,31,Compass,B-ISSUE
449,31,Interference,I-ISSUE
450,31,.,I-ISSUE
451,31,Temp,O
452,31,Max,B-PARAMETER
453,31,Altitude,I-PARAMETER
454,31,:,O
455,31,98,O
456,31,ft,O
457,31,,O
458,32,Compass,B-ISSUE
459,32,Redundancy,I-ISSUE
460,32,Switch,I-ISSUE
461,32,,O
462,33,Compass,B-ISSUE
463,33,Stuck,I-ISSUE
464,33,.,I-ISSUE
465,33,Restart,B-ACTION
466,33,Aircraft,B-COMPONENT
467,33,.,I-COMPONENT
468,33,Contact,O
469,33,DJI,O
470,33,Support,O
471,33,if,O
472,33,this,O
473,33,persists,O
474,33,.,O
475,33,,O
476,34,Correcting,B-ACTION
477,34,Landing,B-PARAMETER
478,34,Position,I-PARAMETER
479,34,,O
480,35,Critically,B-ISSUE
481,35,Low,I-ISSUE
482,35,Power,I-ISSUE
483,35,.,I-ISSUE
484,35,Aircraft,B-COMPONENT
485,35,Landing,B-ACTION
486,35,,O
487,36,Current,O
488,36,RTH,B-PARAMETER
489,36,route,I-PARAMETER
490,36,will,O
491,36,pass,O
492,36,a,O
493,36,No,O
494,36,-,O
495,36,Fly,O
496,36,zone,O
497,36,.,O
498,36,Pay,O
499,36,attention,O
500,36,to,O
501,36,the,O
502,36,aircraft,O
503,36,'s,O
504,36,position,O
505,36,to,O
506,36,avoid,O
507,36,RTH,B-ISSUE
508,36,failure,I-ISSUE
509,36,.,O
510,36,,O
511,37,Data,B-COMPONENT
512,37,Recorder,I-COMPONENT
513,37,File,B-PARAMETER
514,37,Index,I-PARAMETER
515,37,is,O
516,37,12,O
517,37,.,O
518,37,,O
519,38,Data,B-COMPONENT
520,38,Recorder,I-COMPONENT
521,38,File,B-PARAMETER
522,38,Index,I-PARAMETER
523,38,is,O
524,38,13,O
525,38,.,O
526,38,,O
527,39,Data,B-COMPONENT
528,39,Recorder,I-COMPONENT
529,39,File,B-PARAMETER
530,39,Index,I-PARAMETER
531,39,is,O
532,39,15,O
533,39,.,O
534,39,,O
535,40,Data,B-COMPONENT
536,40,Recorder,I-COMPONENT
537,40,File,B-PARAMETER
538,40,Index,I-PARAMETER
539,40,is,O
540,40,17,O
541,40,.,O
542,40,,O
543,41,Data,B-COMPONENT
544,41,Recorder,I-COMPONENT
545,41,File,B-PARAMETER
546,41,Index,I-PARAMETER
547,41,is,O
548,41,18,O
549,41,.,O
550,41,,O
551,42,Data,B-COMPONENT
552,42,Recorder,I-COMPONENT
553,42,File,B-PARAMETER
554,42,Index,I-PARAMETER
555,42,is,O
556,42,19,O
557,42,.,O
558,42,,O
559,43,Data,B-COMPONENT
560,43,Recorder,I-COMPONENT
561,43,File,B-PARAMETER
562,43,Index,I-PARAMETER
563,43,is,O
564,43,2,O
565,43,.,O
566,43,,O
567,44,Data,B-COMPONENT
568,44,Recorder,I-COMPONENT
569,44,File,B-PARAMETER
570,44,Index,I-PARAMETER
571,44,is,O
572,44,21,O
573,44,.,O
574,44,,O
575,45,Data,B-COMPONENT
576,45,Recorder,I-COMPONENT
577,45,File,B-PARAMETER
578,45,Index,I-PARAMETER
579,45,is,O
580,45,29,O
581,45,.,O
582,45,,O
583,46,Data,B-COMPONENT
584,46,Recorder,I-COMPONENT
585,46,File,B-PARAMETER
586,46,Index,I-PARAMETER
587,46,is,O
588,46,3,O
589,46,.,O
590,46,,O
591,47,Data,B-COMPONENT
592,47,Recorder,I-COMPONENT
593,47,File,B-PARAMETER
594,47,Index,I-PARAMETER
595,47,is,O
596,47,30,O
597,47,.,O
598,47,,O
599,48,Data,B-COMPONENT
600,48,Recorder,I-COMPONENT
601,48,File,B-PARAMETER
602,48,Index,I-PARAMETER
603,48,is,O
604,48,4,O
605,48,.,O
606,48,,O
607,49,Data,B-COMPONENT
608,49,Recorder,I-COMPONENT
609,49,File,B-PARAMETER
610,49,Index,I-PARAMETER
611,49,is,O
612,49,45,O
613,49,.,O
614,49,,O
615,50,Data,B-COMPONENT
616,50,Recorder,I-COMPONENT
617,50,File,B-PARAMETER
618,50,Index,I-PARAMETER
619,50,is,O
620,50,46,O
621,50,.,O
622,50,,O
623,51,Data,B-COMPONENT
624,51,Recorder,I-COMPONENT
625,51,File,B-PARAMETER
626,51,Index,I-PARAMETER
627,51,is,O
628,51,5,O
629,51,.,O
630,51,,O
631,52,Data,B-COMPONENT
632,52,Recorder,I-COMPONENT
633,52,File,B-PARAMETER
634,52,Index,I-PARAMETER
635,52,is,O
636,52,57,O
637,52,.,O
638,52,,O
639,53,Data,O
640,53,Recorder,O
641,53,File,B-PARAMETER
642,53,Index,I-PARAMETER
643,53,is,O
644,53,65,O
645,53,.,O
646,53,,O
647,54,Data,B-COMPONENT
648,54,Recorder,I-COMPONENT
649,54,File,B-PARAMETER
650,54,Index,I-PARAMETER
651,54,is,O
652,54,7,O
653,54,.,O
654,54,,O
655,55,Data,B-COMPONENT
656,55,Recorder,I-COMPONENT
657,55,File,B-PARAMETER
658,55,Index,I-PARAMETER
659,55,is,O
660,55,8,O
661,55,.,O
662,55,,O
663,56,Descending,B-ACTION
664,56,.,I-ACTION
665,56,Exited,B-ACTION
666,56,Visual,B-FUNCTION
667,56,Avoidance,I-FUNCTION
668,56,System,I-FUNCTION
669,56,,O
670,57,Downlink,B-ISSUE
671,57,Lost,I-ISSUE
672,57,.,O
673,57,,O
674,58,Downlink,B-STATE
675,58,Restored,I-STATE
676,58,(,O
677,58,after,O
678,58,0,O
679,58,m,O
680,58,0.9s,O
681,58,),O
682,58,.,O
683,58,,O
684,59,Downlink,B-STATE
685,59,Restored,I-STATE
686,59,(,O
687,59,after,O
688,59,0,O
689,59,m,O
690,59,1.1s,O
691,59,),O
692,59,.,O
693,59,,O
694,60,Downlink,B-STATE
695,60,Restored,I-STATE
696,60,(,O
697,60,after,O
698,60,0,O
699,60,m,O
700,60,1.2s,O
701,60,),O
702,60,.,O
703,60,,O
704,61,Downlink,B-STATE
705,61,Restored,I-STATE
706,61,(,O
707,61,after,O
708,61,0,O
709,61,m,O
710,61,1.4s,O
711,61,),O
712,61,.,O
713,61,,O
714,62,Downlink,B-STATE
715,62,Restored,I-STATE
716,62,(,O
717,62,after,O
718,62,0,O
719,62,m,O
720,62,1.5s,O
721,62,),O
722,62,.,O
723,62,,O
724,63,Downlink,B-STATE
725,63,Restored,I-STATE
726,63,(,O
727,63,after,O
728,63,0,O
729,63,m,O
730,63,1.6s,O
731,63,),O
732,63,.,O
733,63,,O
734,64,Downlink,B-STATE
735,64,Restored,I-STATE
736,64,(,O
737,64,after,O
738,64,0,O
739,64,m,O
740,64,1.7s,O
741,64,),O
742,64,.,O
743,64,,O
744,65,Downlink,B-STATE
745,65,Restored,I-STATE
746,65,(,O
747,65,after,O
748,65,0,O
749,65,m,O
750,65,11.3s,O
751,65,),O
752,65,.,O
753,65,,O
754,66,Downlink,B-STATE
755,66,Restored,I-STATE
756,66,(,O
757,66,after,O
758,66,0,O
759,66,m,O
760,66,11s,O
761,66,),O
762,66,.,O
763,66,,O
764,67,Downlink,B-STATE
765,67,Restored,I-STATE
766,67,(,O
767,67,after,O
768,67,0,O
769,67,m,O
770,67,1s,O
771,67,),O
772,67,.,O
773,67,,O
774,68,Downlink,B-STATE
775,68,Restored,I-STATE
776,68,(,O
777,68,after,O
778,68,0,O
779,68,m,O
780,68,2.2s,O
781,68,),O
782,68,.,O
783,68,,O
784,69,Downlink,B-STATE
785,69,Restored,I-STATE
786,69,(,O
787,69,after,O
788,69,0,O
789,69,m,O
790,69,2.3s,O
791,69,),O
792,69,.,O
793,69,,O
794,70,Downlink,B-STATE
795,70,Restored,I-STATE
796,70,(,O
797,70,after,O
798,70,0,O
799,70,m,O
800,70,2.9s,O
801,70,),O
802,70,.,O
803,70,,O
804,71,Downlink,B-STATE
805,71,Restored,I-STATE
806,71,(,O
807,71,after,O
808,71,0,O
809,71,m,O
810,71,5.6s,O
811,71,),O
812,71,.,O
813,71,,O
814,72,Downlink,B-STATE
815,72,Restored,I-STATE
816,72,(,O
817,72,after,O
818,72,0,O
819,72,m,O
820,72,5.8s,O
821,72,),O
822,72,.,O
823,72,,O
824,73,Exited,B-ACTION
825,73,Visual,B-FUNCTION
826,73,Avoidance,I-FUNCTION
827,73,System,I-FUNCTION
828,73,.,O
829,73,,O
830,74,Flight,B-PARAMETER
831,74,Mode,I-PARAMETER
832,74,Set,B-ACTION
833,74,to,O
834,74,Attitude,B-STATE
835,74,,O
836,75,Fly,O
837,75,with,O
838,75,caution,O
839,75,and,O
840,75,ensure,O
841,75,the,O
842,75,aircraft,B-COMPONENT
843,75,remains,O
844,75,within,O
845,75,your,O
846,75,line,O
847,75,of,O
848,75,sight,O
849,75,.,O
850,75,,O
851,76,Forward,B-FUNCTION
852,76,Obstacle,I-FUNCTION
853,76,Sensing,I-FUNCTION
854,76,is,O
855,76,not,O
856,76,functioning,O
857,76,.,O
858,76,,O
859,77,Forward,B-FUNCTION
860,77,Obstacle,I-FUNCTION
861,77,Sensing,I-FUNCTION
862,77,not,O
863,77,Responding,O
864,77,,O
865,78,Gimbal,B-ISSUE
866,78,Pitch,I-ISSUE
867,78,Limit,I-ISSUE
868,78,Reached,I-ISSUE
869,78,.,O
870,78,,O
871,79,Gimbal,B-ISSUE
872,79,Pitch,I-ISSUE
873,79,Reached,I-ISSUE
874,79,Movement,I-ISSUE
875,79,Limit,I-ISSUE
876,79,,O
877,80,Gimbal,B-ISSUE
878,80,Roll,I-ISSUE
879,80,Limit,I-ISSUE
880,80,Reached,I-ISSUE
881,80,.,O
882,80,,O
883,81,Gimbal,B-ISSUE
884,81,Yaw,I-ISSUE
885,81,Limit,I-ISSUE
886,81,Reached,I-ISSUE
887,81,,O
888,82,GPS,B-ISSUE
889,82,Position,I-ISSUE
890,82,Mismatch,I-ISSUE
891,82,.,O
892,82,,O
893,83,High,B-ISSUE
894,83,wind,I-ISSUE
895,83,velocity,I-ISSUE
896,83,.,I-ISSUE
897,83,Ensure,O
898,83,the,O
899,83,aircraft,B-COMPONENT
900,83,remains,O
901,83,within,O
902,83,your,O
903,83,line,O
904,83,of,O
905,83,sight,O
906,83,and,O
907,83,fly,O
908,83,with,O
909,83,caution,O
910,83,.,O
911,83,,O
912,84,High,B-ISSUE
913,84,wind,I-ISSUE
914,84,velocity,I-ISSUE
915,84,.,I-ISSUE
916,84,Ensure,O
917,84,the,O
918,84,aircraft,B-COMPONENT
919,84,remains,O
920,84,within,O
921,84,your,O
922,84,line,O
923,84,of,O
924,84,sight,O
925,84,and,O
926,84,fly,O
927,84,with,O
928,84,caution,O
929,84,.,O
930,84,;,O
931,84,Downlink,B-ISSUE
932,84,Lost,I-ISSUE
933,84,.,O
934,84,,O
935,85,High,B-ISSUE
936,85,wind,I-ISSUE
937,85,velocity,I-ISSUE
938,85,.,I-ISSUE
939,85,Ensure,O
940,85,the,O
941,85,aircraft,B-COMPONENT
942,85,remains,O
943,85,within,O
944,85,your,O
945,85,line,O
946,85,of,O
947,85,sight,O
948,85,and,O
949,85,fly,O
950,85,with,O
951,85,caution,O
952,85,.,O
953,85,;,O
954,85,High,B-ISSUE
955,85,wind,I-ISSUE
956,85,velocity,I-ISSUE
957,85,.,I-ISSUE
958,85,Fly,O
959,85,with,O
960,85,caution,O
961,85,and,O
962,85,land,O
963,85,in,O
964,85,a,O
965,85,safe,O
966,85,place,O
967,85,ASAP,O
968,85,.,O
969,85,,O
970,86,High,B-ISSUE
971,86,wind,I-ISSUE
972,86,velocity,I-ISSUE
973,86,.,I-ISSUE
974,86,Fly,O
975,86,with,O
976,86,caution,O
977,86,and,O
978,86,land,O
979,86,in,O
980,86,a,O
981,86,safe,O
982,86,place,O
983,86,ASAP,O
984,86,.,O
985,86,,O
986,87,High,B-ISSUE
987,87,wind,I-ISSUE
988,87,velocity,I-ISSUE
989,87,.,I-ISSUE
990,87,Fly,O
991,87,with,O
992,87,caution,O
993,87,.,O
994,87,,O
995,88,Home,B-PARAMETER
996,88,Point,I-PARAMETER
997,88,Recorded,O
998,88,",",O
999,88,Return,B-PARAMETER
1000,88,-,I-PARAMETER
1001,88,to,I-PARAMETER
1002,88,-,I-PARAMETER
1003,88,Home,I-PARAMETER
1004,88,Altitude:98FT,I-PARAMETER
1005,88,,O
1006,89,Home,B-PARAMETER
1007,89,Point,I-PARAMETER
1008,89,Recorded,O
1009,89,",",O
1010,89,Return,B-PARAMETER
1011,89,-,I-PARAMETER
1012,89,to,I-PARAMETER
1013,89,-,I-PARAMETER
1014,89,Home,I-PARAMETER
1015,89,Altitude:98FT,I-PARAMETER
1016,89,.,O
1017,89,,O
1018,90,Home,B-PARAMETER
1019,90,Point,I-PARAMETER
1020,90,Recorded,O
1021,90,.,O
1022,90,,O
1023,91,Home,B-PARAMETER
1024,91,Point,I-PARAMETER
1025,91,recorded,O
1026,91,.,O
1027,91,Return,B-PARAMETER
1028,91,-,I-PARAMETER
1029,91,to,I-PARAMETER
1030,91,-,I-PARAMETER
1031,91,Home,I-PARAMETER
1032,91,Altitude:98FT,I-PARAMETER
1033,91,,O
1034,92,Home,B-PARAMETER
1035,92,Point,I-PARAMETER
1036,92,recorded,O
1037,92,.,O
1038,92,Return,B-PARAMETER
1039,92,-,I-PARAMETER
1040,92,to,I-PARAMETER
1041,92,-,I-PARAMETER
1042,92,Home,I-PARAMETER
1043,92,Altitude:98FT,I-PARAMETER
1044,92,.,O
1045,92,,O
1046,93,Home,B-PARAMETER
1047,93,Point,I-PARAMETER
1048,93,Recorded,O
1049,93,.,O
1050,93,;,O
1051,93,Taking,B-ACTION
1052,93,off,I-ACTION
1053,93,.,O
1054,93,,O
1055,94,Home,B-PARAMETER
1056,94,Point,I-PARAMETER
1057,94,Updated,O
1058,94,.,O
1059,94,,O
1060,95,Image,B-FUNCTION
1061,95,Transmission,I-FUNCTION
1062,95,Recovered,O
1063,95,.,O
1064,95,Aircraft,B-COMPONENT
1065,95,is,O
1066,95,returning,O
1067,95,home,O
1068,95,.,O
1069,95,,O
1070,96,Intelligent,B-FUNCTION
1071,96,Flight,I-FUNCTION
1072,96,Modes,I-FUNCTION
1073,96,have,O
1074,96,not,O
1075,96,been,O
1076,96,enabled,O
1077,96,.,O
1078,96,Enable,O
1079,96,this,O
1080,96,option,O
1081,96,in,O
1082,96,Main,B-FUNCTION
1083,96,Controller,I-FUNCTION
1084,96,Settings,I-FUNCTION
1085,96,if,O
1086,96,needed,O
1087,96,.,O
1088,96,,O
